sample_id,cluster_name,methylation_rate,total_observed_cpg,cell_type,treatment,subgroup,tissue,age
GSM2833215,0,0.244856215,31275855.0,TE,,,Embryo,
GSM2833218,0,0.230813606,27433042.0,TE,,,Embryo,
GSM2833214,0,0.235591693,23979373.0,TE,,,Embryo,
GSM2833189,0,0.22461103,11202574.0,TE,,,Embryo,
GSM2833213,0,0.244553504,27314191.0,TE,,,Embryo,
GSM2833221,0,0.236457824,27989354.0,TE,,,Embryo,
GSM2833206,0,0.235295415,16639247.0,TE,,,Embryo,
GSM2833196,0,0.224567447,27791555.0,TE,,,Embryo,
GSM2833191,0,0.235751289,27183360.0,TE,,,Embryo,
GSM2833203,0,0.216099915,41110340.0,TE,,,Embryo,
GSM2833166,0,0.235855251,23268603.0,ICM,,,Embryo,
GSM2833168,0,0.222401766,10620054.0,ICM,,,Embryo,
GSM2833137,1,0.278200206,24990525.0,ICM,,,Embryo,
GSM2833220,1,0.254590109,14637998.0,TE,,,Embryo,
GSM2833192,1,0.267637168,24947092.0,TE,,,Embryo,
GSM2833111,1,0.281220394,28808518.0,8-cell embryo,,,Embryo,
GSM2833217,1,0.25418818,26621779.0,TE,,,Embryo,
GSM2833216,1,0.275605283,18936372.0,TE,,,Embryo,
GSM2833202,1,0.260603084,25409948.0,TE,,,Embryo,
GSM2833205,1,0.273717865,20926374.0,TE,,,Embryo,
GSM2833212,1,0.257334272,16103816.0,TE,,,Embryo,
GSM2833211,1,0.272419041,21742718.0,TE,,,Embryo,
GSM2833210,1,0.266316405,20657034.0,TE,,,Embryo,
GSM2833138,1,0.277790879,10630102.0,ICM,,,Embryo,
GSM2833209,1,0.255851897,25653196.0,TE,,,Embryo,
GSM2833194,1,0.281944348,16092927.0,TE,,,Embryo,
GSM2833195,1,0.257041574,29507848.0,TE,,,Embryo,
GSM2833114,1,0.27945775,17876858.0,Morula,,,Embryo,
GSM2833197,1,0.269212939,29033945.0,TE,,,Embryo,
GSM2833122,1,0.284456443,32769699.0,Morula,,,Embryo,
GSM2833140,1,0.284755092,21520199.0,ICM,,,Embryo,
GSM2833190,1,0.271461813,21991379.0,TE,,,Embryo,
GSM2833169,1,0.260637081,10763292.0,ICM,,,Embryo,
GSM2833167,1,0.284183696,16938094.0,ICM,,,Embryo,
GSM2833181,1,0.275638947,27516461.0,ICM,,,Embryo,
GSM2833201,1,0.282825419,22392441.0,TE,,,Embryo,
GSM2833187,1,0.280014679,15986581.0,TE,,,Embryo,
GSM2833151,1,0.271840681,26306047.0,ICM,,,Embryo,
GSM2833150,1,0.267499229,14668484.0,ICM,,,Embryo,
GSM2833200,1,0.253186741,21107979.0,TE,,,Embryo,
GSM2833147,1,0.28083015,12610970.0,ICM,,,Embryo,
GSM2833038,1,0.276207836,16176124.0,4-cell embryo,,,Embryo,
GSM2833146,1,0.274410261,22972282.0,ICM,,,Embryo,
GSM2833039,1,0.264748906,11175730.0,4-cell embryo,,,Embryo,
GSM2833144,1,0.266822131,27870645.0,ICM,,,Embryo,
GSM2833148,1,0.26406998,16739491.0,ICM,,,Embryo,
GSM2833193,2,0.292096955,16301039.0,TE,,,Embryo,
GSM2833174,2,0.288881151,20706324.0,ICM,,,Embryo,
GSM2833199,2,0.293604649,15084255.0,TE,,,Embryo,
