sample_id,cell_index,cell_name,cluster_name,final_cluster,methylation_rate,total_observed_cpg,total_methylated_cpg,cell_methylation_rate,tSNE_1,tSNE_2,imputation_order
1,1,GSM1370540_2i_6.cov.txt.gz,0,0,0.107,3275072,350419,0.107,29.883858,26.937443,1
4,4,GSM1370542_2i_8.cov.txt.gz,0,0,0.1617,3886442,628399,0.1617,-6.2022743,7.9826,2
5,5,GSM1370545_2i_11.cov.txt.gz,0,0,0.1871,3043550,569500,0.1871,34.047367,-26.323935,3
9,9,GSM1370544_2i_10.cov.txt.gz,1,1,0.257,3682159,946316,0.257,38.82176,0.8316412,4
10,10,GSM1370538_2i_4.cov.txt.gz,1,1,0.3,4209895,1262761,0.3,-19.198112,-30.604527,5
12,12,GSM1370543_2i_9.cov.txt.gz,1,1,0.2586,4386256,1134279,0.2586,16.765574,-11.591497,6
2,2,GSM1370539_2i_5.cov.txt.gz,2,2,0.4001,3886868,1555217,0.4001,-4.518433,-13.302665,7
3,3,GSM1370536_2i_2.cov.txt.gz,2,2,0.3963,2763006,1094903,0.3963,-28.265032,-4.529827,8
6,6,GSM1370546_2i_12.cov.txt.gz,2,2,0.4196,3497184,1467579,0.4196,7.9603457,-35.357525,9
7,7,GSM1370535_2i_1.cov.txt.gz,2,2,0.417,3739869,1559667,0.417,15.072268,9.707246,10
8,8,GSM1370541_2i_7.cov.txt.gz,2,2,0.3963,4197472,1663590,0.3963,2.5801396,31.732334,11
11,11,GSM1370537_2i_3.cov.txt.gz,2,2,0.5105,3345928,1708023,0.5105,-23.544165,22.668098,12
